longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.3849001,50.8176909,Rent,740,Appartment,Flat,46472,1050,,,,,,,,False,From 16/09/2026,Brussels,place de la petite suisse elsene,,,,,,False,
4.388949,50.832177,Rent,2750,House,House,48985,1040,,Normal,258,3,2,,,,From 14/08/2026,Brussels,,,,,,,,
4.3522809,50.8527753,Rent,810,Appartment,Flat,46472,1000,,,,,,,,False,From 16/09/2026,Brussels,rue aux fleurs brussels,,,,,,False,
4.3552866,50.8413118,Rent,2150,Appartment,Flat,49251,1000,,,30,,,,,,,Brussels,rue sainte-anne brussels,,,,,,False,
4.3458451,50.8423041,Rent,1100,Appartment,Flat,46472,1000,,,,,,,,True,From 16/09/2026,Brussels,place rouppe brussels,,,,,,False,
4.3526015,50.8472523,Rent,2000,Appartment,Flat,49251,1000,,,80,,,,,,,Brussels,rue chair et pain brussels,,,,,,False,
4.3166667,50.8,Rent,3800,Appartment,Flat,39905,1190,1905,Excellent,241,3,2,True,22,False,Immediately,Brussels,,,1,,41436,,,
4.3875057,50.8390068,Rent,1400,Appartment,Flat,40457,1040,,Normal,100,2,1,True,,,Immediately,Brussels,avenue des nerviens,37,,,,,,
4.3552866,50.8413118,Rent,2150,Appartment,Flat,49251,1000,,,45,,,,,,,Brussels,rue sainte-anne brussels,,,,,,False,
4.3239279,50.7984613,Rent,2000,House,House,40457,1180,1933,Fully renovated,134,2,1,False,,,Immediately,Brussels,rue du merlo,76,,380,61578,120,,
4.3166667,50.8,Rent,3800,Appartment,Flat,39905,1190,1905,Excellent,243,3,2,True,8,False,Immediately,Brussels,,,2,,35200,,,
4.345387,50.8421034,Rent,940,Appartment,Flat,46472,1000,,,,,,,,True,From 16/09/2026,Brussels,avenue de stalingrad brussels,,,,,,False,
4.3498377,50.8522616,Rent,975,Appartment,Flat,46472,1000,,,,,,,,True,From 16/09/2026,Brussels,place du béguinage brussels,,,,,,False,
4.3679287,50.8200133,Rent,2100,Appartment,Duplex,49242,1050,1904,Excellent,140,2,2,False,25,False,Immediately,Brussels,rue van eyck,21,,,,300,,
4.4329851,50.8381484,Rent,750,Appartment,Flat,39602,1150,,,29,,1,,10,,,Brussels,,,,,,,,
4.3539985,50.8225496,Rent,900,Appartment,FlatStudio,44165,1050,1952,Normal,37,,1,True,7,False,Immediately,Brussels,chaussée de waterloo,363,,,,,,
4.3766927,50.8235717,Rent,795,Appartment,FlatStudio,40389,1050,2007,,45,,1,True,,True,,Brussels,,,,,,,,
4.3709276,50.8791885,Rent,1250,Appartment,Flat,44165,1000,1884,Normal,75,2,1,True,,False,Immediately,Brussels,quai des usines,155,,,,,,
4.3417035,50.8788137,Rent,1090,Appartment,Flat,38611,1020,,New,60,1,,False,,,Immediately,Brussels,rue steyls,82,,,9112,,,
4.3512555,50.8434512,Rent,1800,Appartment,Flat,27214,1000,2004,Excellent,110,3,1,True,7,False,Immediately,Brussels,rue de villers,22,,,13258,,,
4.36665933,50.81046305,Rent,900,Appartment,Flat,38513,1180,1900,Normal,50,1,1,False,,False,Immediately,Brussels,avenue montjoie,51,,,,,,
4.3665903,50.8121005,Rent,2300,Appartment,Flat,43157,1180,1961,Normal,130,3,1,True,6,False,,Brussels,avenue winston churchill,236,1,,11065,,,
4.412071,50.8681936,Rent,1150,Appartment,Duplex,45858,1140,,Fully renovated,70,2,1,False,,False,Immediately,Brussels,rue de l'arbre unique,105,,,12829,,,
4.3456458,50.8077058,Rent,2200,Appartment,Flat,40959,1180,,Fully renovated,125,3,2,True,,,,Brussels,avenue ch?teau de walzin,6,1,,,,True,
4.388949,50.832177,Rent,1750,Appartment,Flat,40044,1040,,,110,3,1,False,,False,,Brussels,,,,,,,,
4.4416222,50.8547048,Rent,970,Appartment,FlatStudio,27612,1200,,Excellent,47,1,1,True,7,False,Immediately,Brussels,avenue marcel thiry,16,,,,,,
4.3704657,50.8537715,Rent,2500,Appartment,Flat,40044,1210,,,,3,3,False,,True,From 01/09/2026,Brussels,,,,,,,,
4.4004476,50.8486339,Rent,830,Appartment,FlatStudio,27612,1030,2000,Excellent,30,0,1,True,3,True,,Brussels,avenue de roodebeek,78,,,,,,
4.37499,50.82067,Rent,4750,Appartment,Flat,47312,1050,,Excellent,345,2,2,,6,,Immediately,Brussels,avenue des klauwaerts,33,,,,225,,
4.3402184,50.8301436,Rent,2150,Appartment,Flat,43099,1060,,Normal,160,3,2,False,25,False,,Brussels,,,1,,,,,
4.4254994,50.855862,Rent,1200,Appartment,Flat,27466,1200,2005,Excellent,68,1,1,True,,True,,Brussels,gulledelle sint-lambrechts-woluwe,,,,24583,,,
4.4287216,50.8154609,Rent,1200,Appartment,Flat,46605,1160,1990,Normal,110,2,1,True,,False,Immediately,Brussels,place communale,15,,,22034,,,
4.4313495,50.8377099,Rent,2000,Appartment,Flat,43157,1150,2018,Excellent,117,3,2,True,12,False,,Brussels,place des maïeurs,2,1,,7346,,,
4.3515499,50.8427501,Rent,1150,Appartment,Flat,29033,1000,1900,Normal,65,1,1,False,18,False,Immediately,Brussels,,,,,,,,
4.3728279,50.8369218,Rent,1050,Appartment,Flat,40088,1050,,Normal,57,1,1,True,,True,,Brussels,rue godecharle,10,,,,,,
4.3836204,50.8536309,Rent,755,Appartment,FlatStudio,48204,1030,,Excellent,32,0,1,False,,False,Immediately,Brussels,rue artan,108,,,14251,,,
4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,2,1,False,,True,From 18/06/2026,Brussels,,,,,,,,
